"3REL","1","1","TWM1","","Religious Education Level 3","13","NCEA Level 3","Religious Education","NLT","23","/ 116","2026TT","3REL||1|1|0|NLT|TWM1|23|116|||8|1|1||"
"3CAR","1","1","TWM1","3REL","Careers Level 3","13","NCEA Level 3","Career Pathways","NLT","23","/ 116","2026TT","3CAR||1|1|0|NLT|TWM1|23|116||3REL|8|4|1||"
"1CAR","1","1","TWM2","1REL","Careers Level 1","11","Year 11 Diploma","Career Pathways","SIL","32","/ 136","2026TT","1CAR||1|1|0|SIL|TWM2|32|136||1REL|8|4|0||"
"1REL","1","1","TWM2","","Religious Education Level 1","11","Year 11 Diploma","Religious Education","NLT","32","/ 136","2026TT","1REL||1|1|0|NLT|TWM2|32|136|||8|1|1||"
"1CAR","1","1","TWM2","1REL","Careers Level 1","11","Year 11 Diploma","Career Pathways","NLT","32","/ 136","2026TT","1CAR||1|1|0|NLT|TWM2|32|136||1REL|8|4|1||"
"1CAR","4","1","NC5","1REL","Careers Level 1","11","Year 11 Diploma","Career Pathways","CHI","21","/ 136","2026TT","1CAR||4|1|0|CHI|NC5|21|136||1REL|8|4|0||"
"1REL","4","1","NC5","","Religious Education Level 1","11","Year 11 Diploma","Religious Education","NLT","21","/ 136","2026TT","1REL||4|1|0|NLT|NC5|21|136|||8|1|1||"
"1CAR","4","1","NC5","1REL","Careers Level 1","11","Year 11 Diploma","Career Pathways","NLT","21","/ 136","2026TT","1CAR||4|1|0|NLT|NC5|21|136||1REL|8|4|1||"
"2STU","1","1","NC5","2REL","STUDY","12","Year 12","Study","CHI","25","/ 91","2026TT","2STU||1|1|0|CHI|NC5|25|91||2REL|8|4|0||"
"2REL","1","1","NC5","","Religious Education Level 2","12","NCEA Level 2","Religious Education","STU","25","/ 91","2026TT","2REL||1|1|0|STU|NC5|25|91|||8|1|1||"
"2STU","1","1","NC5","2REL","STUDY","12","Year 12","Study","STU","25","/ 91","2026TT","2STU||1|1|0|STU|NC5|25|91||2REL|8|4|1||"
"2STU","4","1","TWM1","2REL","STUDY","12","Year 12","Study","STC","26","/ 91","2026TT","2STU||4|1|0|STC|TWM1|26|91||2REL|8|4|0||"
"2REL","4","1","TWM1","","Religious Education Level 2","12","NCEA Level 2","Religious Education","STU","26","/ 91","2026TT","2REL||4|1|0|STU|TWM1|26|91|||8|1|1||"
"2STU","4","1","TWM1","2REL","STUDY","12","Year 12","Study","STU","26","/ 91","2026TT","2STU||4|1|0|STU|TWM1|26|91||2REL|8|4|1||"
